Years,Months,L.ht,M.ht,S.ht,L.wt,M.wt,S.wt,sex
0,0,1,49.8842,0.03795,0.3487,3.3464,0.14602,1
0.01916496,0.22997952,1,51.1152,0.03723,0.2776,3.4879,0.14483,1
0.03832991,0.45995892,1,52.3461,0.03652,0.2581,3.7529,0.14142,1
0.05749487,0.68993844,1,53.3905,0.03609,0.2442,4.0603,0.13807,1
0.07665982,0.91991784,1,54.3881,0.0357,0.2331,4.3671,0.13497,1
0.08333333,0.99999996,1,54.7244,0.03557,0.2297,4.4709,0.13395,1
0.09582478,1.14989736,1,55.3374,0.03534,0.2237,4.659,0.13215,1
0.11498973,1.37987676,1,56.2357,0.03501,0.2155,4.9303,0.1296,1
0.13415469,1.60985628,1,57.0851,0.0347,0.2081,5.1817,0.12729,1
0.15331964,1.83983568,1,57.8889,0.03442,0.2014,5.4149,0.1252,1
0.16666667,2.00000004,1,58.4249,0.03424,0.197,5.5675,0.12385,1
0.1724846,2.0698152,1,58.6536,0.03416,0.1952,5.6319,0.1233,1
0.19164955,2.2997946,1,59.3872,0.03392,0.1894,5.8346,0.12157,1
0.21081451,2.52977412,1,60.0894,0.03369,0.184,6.0242,0.12001,1
0.22997947,2.75975364,1,60.7605,0.03348,0.1789,6.2019,0.1186,1
0.24914442,2.98973304,1,61.4013,0.03329,0.174,6.369,0.11732,1
0.25,3,1,61.4292,0.03328,0.1738,6.3762,0.11727,1
0.33333333,3.99999996,1,63.886,0.03257,0.1553,7.0023,0.11316,1
0.41666667,5.00000004,1,65.9026,0.03204,0.1395,7.5105,0.1108,1
0.5,6,1,67.6236,0.03165,0.1257,7.934,0.10958,1
0.58333333,6.99999996,1,69.1645,0.03139,0.1134,8.297,0.10902,1
0.66666667,8.00000004,1,70.5994,0.03124,0.1021,8.6151,0.10882,1
0.75,9,1,71.9687,0.03117,0.0917,8.9014,0.10881,1
0.83333333,9.99999996,1,73.2812,0.03118,0.082,9.1649,0.10891,1
0.91666667,11.00000004,1,74.5388,0.03125,0.073,9.4122,0.10906,1
1,12,1,75.7488,0.03137,0.0644,9.6479,0.10925,1
1.08333333,12.99999996,1,76.9186,0.03154,0.0563,9.8749,0.10949,1
1.16666667,14.00000004,1,78.0497,0.03174,0.0487,10.0953,0.10976,1
1.25,15,1,79.1458,0.03197,0.0413,10.3108,0.11007,1
1.33333333,15.99999996,1,80.2113,0.03222,0.0343,10.5228,0.11041,1
1.41666667,17.00000004,1,81.2487,0.0325,0.0275,10.7319,0.11079,1
1.5,18,1,82.2587,0.03279,0.0211,10.9385,0.11119,1
1.58333333,18.99999996,1,83.2418,0.0331,0.0148,11.143,0.11164,1
1.66666667,20.00000004,1,84.1996,0.03342,0.0087,11.3462,0.11211,1
1.75,21,1,85.1348,0.03376,0.0029,11.5486,0.11261,1
1.83333333,21.99999996,1,86.0477,0.0341,-0.0028,11.7504,0.11314,1
1.91666667,23.00000004,1,86.941,0.03445,-0.0083,11.9514,0.11369,1
2,24,1,87.8161,0.03479,-0.0137,12.1515,0.11426,1
2,24,1,87.1161,0.03507,-0.0137,12.1515,0.11426,1
2.08333333,24.99999996,1,87.972,0.03542,-0.0189,12.3502,0.11485,1
2.16666667,26.00000004,1,88.8065,0.03576,-0.024,12.5466,0.11544,1
2.25,27,1,89.6197,0.0361,-0.0289,12.7401,0.11604,1
2.33333333,27.99999996,1,90.412,0.03642,-0.0337,12.9303,0.11664,1
2.41666667,29.00000004,1,91.1828,0.03674,-0.0385,13.1169,0.11723,1
2.5,30,1,91.9327,0.03704,-0.0431,13.3,0.11781,1
2.58333333,30.99999996,1,92.6631,0.03733,-0.0476,13.4798,0.11839,1
2.66666667,32.00000004,1,93.3753,0.03761,-0.052,13.6567,0.11896,1
2.75,33,1,94.0711,0.03787,-0.0564,13.8309,0.11953,1
2.83333333,33.99999996,1,94.7532,0.03812,-0.0606,14.0031,0.12008,1
2.91666667,35.00000004,1,95.4236,0.03836,-0.0648,14.1736,0.12062,1
3,36,1,96.0835,0.03858,-0.0689,14.3429,0.12116,1
3.08333333,36.99999996,1,96.7337,0.03879,-0.0729,14.5113,0.12168,1
3.16666667,38.00000004,1,97.3749,0.039,-0.0769,14.6791,0.1222,1
3.25,39,1,98.0073,0.03919,-0.0808,14.8466,0.12271,1
3.33333333,39.99999996,1,98.631,0.03937,-0.0846,15.014,0.12322,1
3.41666667,41.00000004,1,99.2459,0.03954,-0.0883,15.1813,0.12373,1
3.5,42,1,99.8515,0.03971,-0.092,15.3486,0.12425,1
3.58333333,42.99999996,1,100.4485,0.03986,-0.0957,15.5158,0.12478,1
3.66666667,44.00000004,1,101.0374,0.04002,-0.0993,15.6828,0.12531,1
3.75,45,1,101.6186,0.04016,-0.1028,15.8497,0.12586,1
3.83333333,45.99999996,1,102.1933,0.04031,-0.1063,16.0163,0.12643,1
3.91666667,47.00000004,1,102.7625,0.04045,-0.1097,16.1827,0.127,1
4,48,1,103.3273,0.04059,-0.1131,16.3489,0.12759,1
4.08333333,48.99999996,1,103.8886,0.04073,-0.1165,16.515,0.12819,1
4.16666667,50.00000004,1,104.4473,0.04086,-0.1198,16.6811,0.1288,1
4.25,51,1,105.0041,0.041,-0.123,16.8471,0.12943,1
4.33333333,51.99999996,1,105.5596,0.04113,-0.1262,17.0132,0.13005,1
4.41666667,53.00000004,1,106.1138,0.04126,-0.1294,17.1792,0.13069,1
4.5,54,1,106.6668,0.04139,-0.1325,17.3452,0.13133,1
4.58333333,54.99999996,1,107.2188,0.04152,-0.1356,17.5111,0.13197,1
4.66666667,56.00000004,1,107.7697,0.04165,-0.1387,17.6768,0.13261,1
4.75,57,1,108.3198,0.04177,-0.1417,17.8422,0.13325,1
4.83333333,57.99999996,1,108.8689,0.0419,-0.1447,18.0073,0.13389,1
4.91666667,59.00000004,1,109.417,0.04202,-0.1477,18.1722,0.13453,1
5,60,1,109.9638,0.04214,-0.1506,18.3366,0.13517,1
0,0,1,49.1477,0.0379,0.3809,3.2322,0.14171,2
0.01916496,0.22997952,1,50.3298,0.03742,0.2671,3.3388,0.146,2
0.03832991,0.45995892,1,51.512,0.03694,0.2304,3.5693,0.14339,2
0.05749487,0.68993844,1,52.4695,0.03669,0.2024,3.8352,0.1406,2
0.07665982,0.91991784,1,53.3809,0.03647,0.1789,4.0987,0.13805,2
0.08333333,0.99999996,1,53.6872,0.0364,0.1714,4.1873,0.13724,2
0.09582478,1.14989736,1,54.2454,0.03627,0.1582,4.3476,0.13583,2
0.11498973,1.37987676,1,55.0642,0.03609,0.1395,4.5793,0.13392,2
0.13415469,1.60985628,1,55.8406,0.03593,0.1224,4.795,0.13228,2
0.15331964,1.83983568,1,56.5767,0.03578,0.1065,4.9959,0.13087,2
0.16666667,2.00000004,1,57.0673,0.03568,0.0962,5.1282,0.13,2
0.1724846,2.0698152,1,57.2761,0.03564,0.0918,5.1842,0.12966,2
0.19164955,2.2997946,1,57.9436,0.03552,0.0779,5.3618,0.12861,2
0.21081451,2.52977412,1,58.5816,0.0354,0.0648,5.5295,0.1277,2
0.22997947,2.75975364,1,59.1922,0.0353,0.0525,5.6883,0.12691,2
0.24914442,2.98973304,1,59.7773,0.0352,0.0407,5.8393,0.12622,2
0.25,3,1,59.8029,0.0352,0.0402,5.8458,0.12619,2
0.33333333,3.99999996,1,62.0899,0.03486,-0.005,6.4237,0.12402,2
0.41666667,5.00000004,1,64.0301,0.03463,-0.043,6.8985,0.12274,2
0.5,6,1,65.7311,0.03448,-0.0756,7.297,0.12204,2
0.58333333,6.99999996,1,67.2873,0.03441,-0.1039,7.6422,0.12178,2
0.66666667,8.00000004,1,68.7498,0.0344,-0.1288,7.9487,0.12181,2
0.75,9,1,70.1435,0.03444,-0.1507,8.2254,0.12199,2
0.83333333,9.99999996,1,71.4818,0.03452,-0.17,8.48,0.12223,2
0.91666667,11.00000004,1,72.771,0.03464,-0.1872,8.7192,0.12247,2
1,12,1,74.015,0.03479,-0.2024,8.9481,0.12268,2
1.08333333,12.99999996,1,75.2176,0.03496,-0.2158,9.1699,0.12283,2
1.16666667,14.00000004,1,76.3817,0.03514,-0.2278,9.387,0.12294,2
1.25,15,1,77.5099,0.03534,-0.2384,9.6008,0.12299,2
1.33333333,15.99999996,1,78.6055,0.03555,-0.2478,9.8124,0.12303,2
1.41666667,17.00000004,1,79.671,0.03576,-0.2562,10.0226,0.12306,2
1.5,18,1,80.7079,0.03598,-0.2637,10.2315,0.12309,2
1.58333333,18.99999996,1,81.7182,0.0362,-0.2703,10.4393,0.12315,2
1.66666667,20.00000004,1,82.7036,0.03643,-0.2762,10.6464,0.12323,2
1.75,21,1,83.6654,0.03666,-0.2815,10.8534,0.12335,2
1.83333333,21.99999996,1,84.604,0.03688,-0.2862,11.0608,0.1235,2
1.91666667,23.00000004,1,85.5202,0.03711,-0.2903,11.2688,0.12369,2
2,24,1,86.4153,0.03734,-0.2941,11.4775,0.1239,2
2,24,1,85.7153,0.03764,-0.2941,11.4775,0.1239,2
2.08333333,24.99999996,1,86.5904,0.03786,-0.2975,11.6864,0.12414,2
2.16666667,26.00000004,1,87.4462,0.03808,-0.3005,11.8947,0.12441,2
2.25,27,1,88.283,0.0383,-0.3032,12.1015,0.12472,2
2.33333333,27.99999996,1,89.1004,0.03851,-0.3057,12.3059,0.12506,2
2.41666667,29.00000004,1,89.8991,0.03872,-0.308,12.5073,0.12545,2
2.5,30,1,90.6797,0.03893,-0.3101,12.7055,0.12587,2
2.58333333,30.99999996,1,91.443,0.03913,-0.312,12.9006,0.12633,2
2.66666667,32.00000004,1,92.1906,0.03933,-0.3138,13.093,0.12683,2
2.75,33,1,92.9239,0.03952,-0.3155,13.2837,0.12737,2
2.83333333,33.99999996,1,93.6444,0.03971,-0.3171,13.4731,0.12794,2
2.91666667,35.00000004,1,94.3533,0.03989,-0.3186,13.6618,0.12855,2
3,36,1,95.0515,0.04006,-0.3201,13.8503,0.12919,2
3.08333333,36.99999996,1,95.7399,0.04024,-0.3216,14.0385,0.12988,2
3.16666667,38.00000004,1,96.4187,0.04041,-0.323,14.2265,0.13059,2
3.25,39,1,97.0885,0.04057,-0.3243,14.414,0.13135,2
3.33333333,39.99999996,1,97.7493,0.04073,-0.3257,14.601,0.13213,2
3.41666667,41.00000004,1,98.4015,0.04089,-0.327,14.7873,0.13293,2
3.5,42,1,99.0448,0.04105,-0.3283,14.9727,0.13376,2
3.58333333,42.99999996,1,99.6795,0.0412,-0.3296,15.1573,0.1346,2
3.66666667,44.00000004,1,100.3058,0.04135,-0.3309,15.341,0.13545,2
3.75,45,1,100.9238,0.0415,-0.3322,15.524,0.1363,2
3.83333333,45.99999996,1,101.5337,0.04164,-0.3335,15.7064,0.13716,2
3.91666667,47.00000004,1,102.136,0.04179,-0.3348,15.8882,0.138,2
4,48,1,102.7312,0.04193,-0.3361,16.0697,0.13884,2
4.08333333,48.99999996,1,103.3197,0.04206,-0.3374,16.2511,0.13968,2
4.16666667,50.00000004,1,103.9021,0.0422,-0.3387,16.4322,0.14051,2
4.25,51,1,104.4786,0.04233,-0.34,16.6133,0.14132,2
4.33333333,51.99999996,1,105.0494,0.04246,-0.3414,16.7942,0.14213,2
4.41666667,53.00000004,1,105.6148,0.04259,-0.3427,16.9748,0.14293,2
4.5,54,1,106.1748,0.04272,-0.344,17.1551,0.14371,2
4.58333333,54.99999996,1,106.7295,0.04285,-0.3453,17.3347,0.14448,2
4.66666667,56.00000004,1,107.2788,0.04298,-0.3466,17.5136,0.14525,2
4.75,57,1,107.8227,0.0431,-0.3479,17.6916,0.146,2
4.83333333,57.99999996,1,108.3613,0.04322,-0.3492,17.8686,0.14675,2
4.91666667,59.00000004,1,108.8948,0.04334,-0.3505,18.0445,0.14748,2
5,60,1,109.4233,0.04347,-0.3518,18.2193,0.14821,2
